,Rk,Year,MVP,Player,Tm,W,L,W/L%,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos,Age,TOT_MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,1,2020,1,Giannis Antetokounmpo,MIL,53,12,0.815,57.0,57.0,30.9,10.9,20.0,0.547,1.5,4.8,0.306,9.5,15.2,0.622,0.583,6.3,10.0,0.633,2.3,11.5,13.7,5.8,1.0,1.0,3.7,3.0,29.6,PF,25.0,1763,31.6,.608,.238,.500,7.8,34.5,22.0,33.9,1.5,2.9,13.1,37.4,5.6,4.8,10.4,.282,7.4,4.1,11.5,6.0
1,2,2020,0,LeBron James,LAL,49,14,0.778,60.0,60.0,34.9,9.8,19.6,0.498,2.2,6.4,0.349,7.6,13.3,0.57,0.555,4.0,5.7,0.697,1.0,6.9,7.9,10.6,1.2,0.5,4.0,1.8,25.7,PG,35.0,2094,26.0,.582,.324,.292,3.1,21.0,12.3,49.7,1.7,1.3,15.3,31.6,6.1,3.4,9.5,.218,6.8,1.9,8.7,5.7
2,3,2020,0,James Harden,HOU,40,24,0.625,61.0,61.0,36.7,9.9,22.7,0.435,4.4,12.6,0.352,5.4,10.1,0.538,0.533,10.1,11.8,0.861,1.0,5.3,6.4,7.4,1.7,0.9,4.5,3.4,34.4,SG,30.0,2241,28.4,.616,.555,.519,3.0,15.3,9.1,34.4,2.2,2.0,13.8,36.4,8.7,2.7,11.5,.245,7.9,1.2,9.0,6.3
3,4,2020,0,Anthony Davis,LAL,49,14,0.778,55.0,55.0,34.3,9.2,18.1,0.511,1.2,3.5,0.335,8.1,14.5,0.554,0.544,7.0,8.3,0.845,2.3,7.1,9.4,3.1,1.5,2.4,2.5,2.5,26.7,PF,26.0,1889,28.2,.614,.195,.460,7.3,22.1,14.9,14.6,2.1,6.2,10.1,29.7,6.2,4.1,10.3,.262,5.8,2.8,8.5,5.0
4,5,2020,0,Luka Dončić,DAL,40,27,0.597,54.0,54.0,33.3,9.5,20.6,0.461,2.9,9.1,0.318,6.6,11.5,0.574,0.531,6.8,9.1,0.752,1.3,8.0,9.3,8.7,1.1,0.2,4.2,2.5,28.7,PG,20.0,1799,27.7,.584,.442,.442,4.1,24.7,14.6,45.3,1.6,0.5,14.6,37.0,5.8,2.3,8.1,.215,7.3,1.1,8.4,4.7
5,6,2020,0,Kawhi Leonard,LAC,44,20,0.688,51.0,51.0,32.2,9.3,19.9,0.469,2.1,5.7,0.366,7.2,14.2,0.51,0.521,6.1,6.9,0.889,1.0,6.3,7.3,5.0,1.8,0.6,2.7,1.9,26.9,SF,28.0,1643,26.7,.585,.287,.344,3.3,19.7,11.7,27.0,2.6,1.7,10.7,33.2,4.6,3.0,7.6,.222,6.5,2.5,9.0,4.6
6,7,2020,0,Nikola Jokić,DEN,43,22,0.662,65.0,65.0,32.3,7.9,14.9,0.528,1.1,3.5,0.314,6.8,11.4,0.594,0.565,3.4,4.1,0.813,2.4,7.8,10.2,6.9,1.2,0.7,3.1,3.1,20.2,C,24.0,2101,25.0,.604,.233,.277,8.2,26.9,17.6,34.3,1.8,1.9,15.7,26.6,6.0,3.2,9.2,.209,5.4,2.3,7.6,5.1
7,8,2020,0,Khris Middleton,MIL,53,12,0.815,55.0,52.0,30.1,7.7,15.5,0.499,2.4,5.8,0.418,5.3,9.7,0.547,0.577,3.2,3.6,0.908,0.7,5.5,6.2,4.1,0.9,0.1,2.1,2.2,21.1,SF,28.0,1653,21.4,.619,.374,.231,2.5,17.0,10.2,21.0,1.4,0.4,10.8,26.2,4.3,3.1,7.4,.214,3.4,0.9,4.4,2.7
8,9,2020,0,Kyle Lowry,TOR,46,18,0.719,52.0,52.0,36.6,5.9,14.3,0.417,2.9,8.3,0.354,3.0,5.9,0.505,0.52,4.9,5.7,0.861,0.6,4.3,4.8,7.7,1.3,0.4,3.0,3.2,19.7,PG,33.0,1901,17.9,.589,.583,.399,1.7,12.0,7.0,31.0,1.8,1.1,15.0,23.1,4.1,2.8,6.9,.173,2.5,0.7,3.2,2.5
9,10,2020,0,Jimmy Butler,MIA,41,24,0.631,54.0,54.0,34.3,6.1,13.4,0.454,0.5,2.2,0.248,5.5,11.2,0.494,0.474,7.6,9.1,0.833,1.8,4.8,6.6,6.1,1.7,0.5,2.2,1.4,20.2,SF,30.0,1851,23.4,.583,.162,.679,6.2,15.2,10.9,28.1,2.4,1.6,11.2,25.2,6.0,2.5,8.5,.219,4.0,1.3,5.2,3.4
